      No     Day     Mon    Year  Qobs_0009304070  Qsim_0009304070
     315      11      11    1955        2.2200000        1.9698102
     316      12      11    1955        2.2200000        1.9211064
     317      13      11    1955        2.1200000        1.8760803
     318      14      11    1955        2.0100000        1.8344610
     319      15      11    1955        2.0100000        1.7965555
     320      16      11    1955        1.9000000        1.7656436
     321      17      11    1955        1.9000000        1.7418073
     322      18      11    1955        2.1200000        1.7186406
     323      19      11    1955        2.2200000        1.6926170
     324      20      11    1955        2.1200000        1.6678026
     325      21      11    1955        2.1200000        1.6524817
     326      22      11    1955        2.1200000        1.6519112
     327      23      11    1955        2.1200000        1.6695146
     328      24      11    1955        2.2200000        1.9069293
     329      25      11    1955        2.1200000        2.3265220
     330      26      11    1955        1.9000000        2.1860974
     331      27      11    1955        1.9000000        2.0499426
     332      28      11    1955        2.1200000        2.1301475
     333      29      11    1955        2.0100000        2.0517641
     334      30      11    1955        2.0100000        2.0025851
     335       1      12    1955        2.0100000        1.9305437
     336       2      12    1955        2.0100000        1.8779287
     337       3      12    1955        2.1200000        1.9312857
     338       4      12    1955        2.2200000        2.1386009
     339       5      12    1955        2.1200000        2.3450574
     340       6      12    1955        2.0100000        2.1913020
     341       7      12    1955        2.0100000        2.0366136
     342       8      12    1955        2.0100000        1.9637134
     343       9      12    1955        2.0100000        1.9735267
     344      10      12    1955        2.2200000        2.6436259
     345      11      12    1955        2.8300000        4.0730211
     346      12      12    1955        2.7100000        4.2900704
     347      13      12    1955        2.4500000        3.6878698
     348      14      12    1955        2.3300000        3.2736034
     349      15      12    1955        2.3300000        3.2161379
     350      16      12    1955        3.7400000        4.1864535
     351      17      12    1955        4.2500000        4.9567086
     352      18      12    1955        5.0100000        6.3973964
     353      19      12    1955        3.2700000        7.1871317
     354      20      12    1955        2.8300000        6.3464556
     355      21      12    1955        2.7100000        4.7241464
     356      22      12    1955        2.5800000        4.0530129
     357      23      12    1955        2.4500000        3.7903141
     358      24      12    1955        2.4500000        3.5653498
     359      25      12    1955        2.4500000        3.3733492
     360      26      12    1955        2.5800000        3.2608863
     361      27      12    1955        2.8300000        3.5461059
     362      28      12    1955        4.2500000        4.5452267
     363      29      12    1955        6.0700000        5.1796853
     364      30      12    1955        7.7600000        5.9512477
     365      31      12    1955        5.6300000        7.2591322
     366       1       1    1956        5.2100000        8.1707726
     367       2       1    1956        8.0000000        7.9233010
     368       3       1    1956        6.7700000        7.6213687
     369       4       1    1956        6.0700000        7.9481871
     370       5       1    1956        5.8500000        6.4887652
     371       6       1    1956        4.6100000        5.0924108
     372       7       1    1956        4.2500000        4.7349619
     373       8       1    1956        3.7400000        4.5150635
     374       9       1    1956        3.5700000        4.2596666
     375      10       1    1956        3.5700000        4.0338252
     376      11       1    1956        3.4200000        3.8529360
     377      12       1    1956        3.4200000        3.8515680
     378      13       1    1956        3.2700000        3.8724565
     379      14       1    1956        3.2700000        3.8143467
     380      15       1    1956        3.4200000        4.0341476
     381      16       1    1956        4.4200000        4.4142405
     382      17       1    1956        3.7400000        4.3621568
     383      18       1    1956        3.5700000        4.1679866
     384      19       1    1956        3.2700000        4.1634934
     385      20       1    1956        3.1200000        4.0948139
     386      21       1    1956        3.1200000        4.0103385
     387      22       1    1956        3.2700000        4.0831114
     388      23       1    1956        3.4200000        4.4111751
     389      24       1    1956        3.7400000        4.9395414
     390      25       1    1956        3.9100000        5.2763569
     391      26       1    1956        3.5700000        5.4506349
     392      27       1    1956        3.7400000        4.8871919
     393      28       1    1956        3.7400000        4.4067881
     394      29       1    1956        3.4200000        4.1781537
     395      30       1    1956        3.2700000        3.9798198
     396      31       1    1956        4.0800000        3.8041722
     397       1       2    1956        4.2500000        3.6480218
     398       2       2    1956        4.2500000        3.5086551
     399       3       2    1956        3.7400000        3.3837598
     400       4       2    1956        3.5700000        3.2713632
     401       5       2    1956        3.4200000        3.1697801
     402       6       2    1956        3.2700000        3.0775691
     403       7       2    1956        3.2700000        2.9934960
     404       8       2    1956        3.1200000        2.9165026
     405       9       2    1956        2.8300000        2.8456804
     406      10       2    1956        2.8300000        2.7802488
     407      11       2    1956        2.5800000        2.7195362
     408      12       2    1956        2.4500000        2.6629640
     409      13       2    1956        2.4500000        2.6100335
     410      14       2    1956        2.4500000        2.5603139
     411      15       2    1956        2.4500000        2.5134328
     412      16       2    1956        2.3300000        2.4690683
     413      17       2    1956        2.2200000        2.4269412
     414      18       2    1956        2.2200000        2.3868093
     415      19       2    1956        2.2200000        2.3484625
     416      20       2    1956        2.1200000        2.3117180
     417      21       2    1956        2.2200000        2.2764165
     418      22       2    1956        2.2200000        2.2424193
     419      23       2    1956        2.3300000        2.2096052
     420      24       2    1956        2.4500000        2.1778682
     421      25       2    1956        2.4500000        2.1471156
     422      26       2    1956        2.4500000        2.1172661
     423      27       2    1956        2.3300000        2.0882480
     424      28       2    1956        2.5800000        2.0751233
     425      29       2    1956        2.7100000        2.6554827
     426       1       3    1956        8.4900000        4.5429049
     427       2       3    1956       35.5000000        6.5854484
     428       3       3    1956       28.5000000        9.2042469
     429       4       3    1956       45.0000000       19.6319468
     430       5       3    1956       37.9000000       32.9094516
     431       6       3    1956       13.7000000       35.6153301
     432       7       3    1956       13.0000000       30.9548251
     433       8       3    1956        7.5100000       20.2764301
     434       9       3    1956        5.8500000       14.0415427
     435      10       3    1956        5.4200000        9.2328900
     436      11       3    1956        4.8100000        7.2154491
     437      12       3    1956        4.4200000        6.5748755
     438      13       3    1956        4.4200000        6.1382694
     439      14       3    1956        4.6100000        5.7765791
     440      15       3    1956        4.4200000        5.4645904
     441      16       3    1956        4.4200000        5.1789186
     442      17       3    1956        3.7400000        4.9316753
     443      18       3    1956        3.7400000        4.7497423
     444      19       3    1956        3.9100000        4.6323909
     445      20       3    1956        3.7400000        4.4981250
     446      21       3    1956        3.7400000        4.3486391
     447      22       3    1956        3.7400000        4.2082344
     448      23       3    1956        3.9100000        4.1114639
     449      24       3    1956        3.9100000        3.9938970
     450      25       3    1956        3.9100000        3.8353963
     451      26       3    1956        3.9100000        3.7068850
     452      27       3    1956        3.9100000        3.5988289
     453      28       3    1956        3.9100000        3.5005407
     454      29       3    1956        3.7400000        3.4103808
     455      30       3    1956        3.5700000        3.3272967
     456      31       3    1956        3.4200000        3.2503877
     457       1       4    1956        3.4200000        3.1788816
     458       2       4    1956        3.4200000        3.1121165
     459       3       4    1956        3.4200000        3.0498692
     460       4       4    1956        3.2700000        2.9959403
     461       5       4    1956        3.2700000        2.9461436
     462       6       4    1956        3.1200000        2.9012060
     463       7       4    1956        2.9700000        2.8852017
     464       8       4    1956        2.8300000        2.8849472
     465       9       4    1956        2.9700000        2.8496336
     466      10       4    1956        2.9700000        2.8192649
     467      11       4    1956        2.8300000        2.8230636
     468      12       4    1956        2.8300000        2.7985950
     469      13       4    1956        3.5700000        3.2030845
     470      14       4    1956        4.8100000        4.7679818
     471      15       4    1956       20.0000000        6.9783189
     472      16       4    1956       10.6000000       10.0386205
     473      17       4    1956       18.8000000       16.7857146
     474      18       4    1956       16.5000000       18.9097345
     475      19       4    1956       13.2000000       19.5669471
     476      20       4    1956       11.3000000       16.3267965
     477      21       4    1956        9.7100000       11.4123599
     478      22       4    1956        8.7400000        8.4866715
     479      23       4    1956        6.7700000        7.3363198
     480      24       4    1956        6.0700000        6.7838420
     481      25       4    1956        6.0700000        6.3589474
     482      26       4    1956        5.8500000        5.9890048
     483      27       4    1956        5.4200000        5.6644848
     484      28       4    1956        5.4200000        5.3845916
     485      29       4    1956        5.2100000        5.1341225
     486      30       4    1956        5.2100000        4.9052407
     487       1       5    1956        5.0100000        4.6999239
     488       2       5    1956        4.8100000        4.5167685
